Layer,Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
5,80,69,0.48,2,0.96
5,81,74,0.51,3,1.54
5,82,56,0.39,3,1.17
5,83,68,0.47,4,1.89
5,84,62,0.43,3,1.29
5,85,61,0.42,4,1.69
5,86,46,0.32,4,1.28
5,87,49,0.34,5,1.70
5,88,54,0.38,3,1.12
5,89,46,0.32,4,1.28
5,90,43,0.30,4,1.19
5,91,39,0.27,5,1.35
5,92,39,0.27,4,1.08
5,93,28,0.19,5,0.97
5,94,37,0.26,5,1.28
5,95,38,0.26,6,1.58
5,96,25,0.17,2,0.35
5,97,24,0.17,3,0.50
5,98,15,0.10,3,0.31
5,99,11,0.08,4,0.31
5,100,20,0.14,3,0.42
5,101,14,0.10,4,0.39
5,102,9,0.06,4,0.25
5,103,8,0.06,5,0.28
5,104,7,0.05,3,0.15
5,105,6,0.04,4,0.17
5,106,9,0.06,4,0.25
5,107,2,0.01,5,0.07
5,108,3,0.02,4,0.08
5,109,1,0.01,5,0.03
5,110,0,0.00,5,0.00
5,111,2,0.01,6,0.08
5,112,1,0.01,3,0.02
5,113,0,0.00,4,0.00
5,114,0,0.00,4,0.00
5,115,0,0.00,5,0.00
5,116,1,0.01,4,0.03
5,117,0,0.00,5,0.00
5,118,0,0.00,5,0.00
5,119,0,0.00,6,0.00
5,120,0,0.00,4,0.00
5,121,0,0.00,5,0.00
5,122,0,0.00,5,0.00
5,123,0,0.00,6,0.00
5,124,0,0.00,5,0.00
5,125,0,0.00,6,0.00
5,126,0,0.00,6,0.00
5,127,0,0.00,7,0.00
7,-128,0,0.00,1,0.00
7,-127,0,0.00,2,0.00
7,-126,0,0.00,2,0.00
7,-125,0,0.00,3,0.00
7,-124,0,0.00,2,0.00
7,-123,0,0.00,3,0.00
7,-122,0,0.00,3,0.00
7,-121,0,0.00,4,0.00
7,-120,0,0.00,2,0.00
7,-119,0,0.00,3,0.00
7,-118,0,0.00,3,0.00
7,-117,0,0.00,4,0.00
7,-116,0,0.00,3,0.00
7,-115,0,0.00,4,0.00
7,-114,0,0.00,4,0.00
7,-113,0,0.00,5,0.00
7,-112,2,0.42,2,0.83
